corpus,qid,label,count,lat,lon
cs,Q1085,Prague,2698,50.0875,14.421388888888888
cs,Q213,Czech Republic,1732,50,15
cs,Q220,Rome,1366,41.893055555556,12.482777777778
cs,Q46,Europe,781,48.690959,9.14062
cs,Q142,France,612,47,2
cs,Q131574,Vltava,588,50.34769,14.474382
cs,Q90,Paris,537,48.85666666666667,2.352222222222222
cs,Q1741,Vienna,500,48.208333333333336,16.3725
cs,Q616334,Vyšehrad,463,50.064427188,14.417644214
cs,Q43266,Moravia,436,49.5,17
cs,Q1653,Danube,369,48.09511111111111,8.15488888888889
cs,Q194263,Tatra Mountains,341,49.177777777778,19.908333333333
cs,Q1644,Elbe,300,50.8875,14.233055555555556
cs,Q157290,Bohemian Forest,300,49,13.5
cs,Q38,Italy,276,42.5,12.5
cs,Q5776,Bethlehem,234,31.704444444444,35.206111111111
cs,Q321197,Cieszyn,231,49.75,18.633333333333
cs,Q171150,Kingdom of Hungary,228,47,19
cs,Q80344,Mount Olympus,207,40.06,22.35
cs,Q1218,Jerusalem,206,31.77888888888889,35.22555555555556
cs,Q36,Poland,205,52,19
cs,Q4373,Battle of White Mountain,194,50.078333333333,14.319444444444
cs,Q193721,Tábor,188,49.414485338494,14.657835974031
cs,Q23522,Balkans,177,42,22
cs,Q40,Austria,173,48,14
cs,Q159,Russia,168,66.41666666666667,94.25
cs,Q183,Germany,164,51,10
cs,Q744598,Hradčany,155,50.089444444444,14.397222222222
cs,Q79,Egypt,151,27,29
cs,Q15,Africa,147,21.09375,7.1881
cs,Q641,Venice,147,45.439722222222,12.331944444444
cs,Q584,Rhine,146,47.6662,9.1786
cs,Q1286,Alps,141,46.57805555555556,8.615
cs,Q5684,Babylon,141,32.5425,44.42111111111111
cs,Q214,Slovakia,138,49,20
cs,Q170516,Calvary,134,31.778611111111,35.229444444444
cs,Q668,India,133,22.8,83
cs,Q215573,Beskids,128,49.41666667,20.25
cs,Q649,Moscow,127,55.755833333333,37.617777777778
cs,Q427604,Petřín,123,50.083611111111,14.395277777778
cs,Q21,England,120,53,-1
cs,Q214644,Giant Mountains,119,50.75,15.583333
cs,Q2044,Florence,119,43.771388888889,11.254166666667
cs,Q3834,Constance,119,47.663333333333,9.1752777777778
cs,Q5428,Siberia,108,60,105
cs,Q3392,Nile,101,31.4653,30.3667
cs,Q16869,Constantinople,99,41.0125,28.98
cs,Q105261,Mount Parnassus,92,38.533,22.6167
cs,Q9264038,Frýdek,92,49.6856,18.3506
cs,Q48,Asia,89,43.681111111111115,87.33111111111111
cs,Q64,Berlin,88,52.516666666667,13.383333333333
cs,Q29,Spain,87,40.2,-3.5
cs,Q801,Israel,87,31,35
cs,Q406,Istanbul,86,41.01,28.960277777778
cs,Q41,Greece,84,38.5,23
cs,Q430776,Nazareth,80,32.702102777778,35.29785
cs,Q236,Montenegro,80,42.766667,19.216667
cs,Q155975,Kutná Hora,79,49.948444972662,15.268225887967
cs,Q1899,Kyiv,78,50.45,30.523611111111
cs,Q14960,Brno,77,49.195277777778,16.608333333333
cs,Q212,Ukraine,75,49,32
cs,Q545,Baltic Sea,74,58,20
cs,Q8385,Ostrava,74,49.835555555556,18.2925
cs,Q881713,Blaník,70,49.642222222222,14.872777777778
cs,Q81720,Silesia,70,51.1035,17.0396
cs,Q11863119,Děvín,70,50.045278,14.391667
cs,Q163329,Canaan,69,32.766667,35.333333
cs,Q1573557,Lysá hora,67,49.545833333333,18.4475
cs,Q1004655,Velehrad,64,49.1054368463,17.394271564616
cs,Q28,Hungary,64,47,19
cs,Q18869,Caucasus,63,42.261111111111,44.121111111111
cs,Q40059,Jordan River,62,31.761388888889,35.558333333333
cs,Q1524,Athens,60,37.98416666666667,23.728055555555557
cs,Q237,Vatican City,59,41.904,12.453
cs,Q84,London,59,51.507222222222,-0.1275
cs,Q148,People's Republic of China,58,35.844722222222224,103.45194444444445
cs,Q1113619,Lipany,58,50.03472222,14.93916667
cs,Q2634,Naples,57,40.833333333333,14.25
cs,Q1288,Carpathian Mountains,55,47,25.5
cs,Q822,Lebanon,54,33.833333,35.766667
cs,Q6583,Sahara,54,23.079722222222223,12.612222222222222
cs,Q43453,Plzeň,50,49.741388888889,13.3825
cs,Q753289,Malá Strana,49,50.088055555556,14.403888888889
cs,Q83241,Galilee,48,32.76,35.527
cs,Q219060,State of Palestine,48,32,35.25
cs,Q193478,Buda,48,47.466666666667,19.05
cs,Q5451,Himalayas,48,29,84
cs,Q104028,Judea,45,31.698889,35.306389
cs,Q369552,Hostýn,44,49.379722222222,17.701944444444
cs,Q45653,Orlice,44,50.203214,15.824618
cs,Q3491363,Beskydy Protected Landscape Area,44,49.5811,18.5874
cs,Q490,Milan,43,45.466944444444,9.19
cs,Q173063,Castile,43,42.35,-3.81666667
cs,Q2946,Palace of Versailles,43,48.804805555556,2.1203333333333
cs,Q403,Serbia,43,43.95,20.933333333333
cs,Q5089,Ganges,42,30.1451,78.5974
cs,Q2079,Leipzig,41,51.34,12.375
cs,Q1246,Kosovo,41,42.55,20.833333333333
cs,Q35600,Ural Mountains,41,60,59
cs,Q102079702,Říp Mountain,41,50.38653,14.2896344
cs,Q5836,Toledo,41,39.866666666667,-4.0333333333333
cs,Q5680,Nineveh,40,36.366667,43.15
cs,Q655554,Trocnov,40,48.905833333333,14.596111111111
cs,Q40855,Dnieper,39,46.4964,32.2872
cs,Q8818,Valencia,38,39.47,-0.3763888888888889
